,Msg,Time[s],Time[UTC],Julian Day,Lon[deg],Lat[deg],Zg[m],Zp[m],Ws[m/s],Wd[deg],T[K],RH[%],P[Pa],DP[Pa],Pv[mA],Vb[V],Tb[K],Pmp[%],Mod,Cmd,potential_temperature,specific_humidity,temperature,altitude,wind_speed,u_wind,v_wind
713,715,31970,23:47:40,76.991435,11.891584,76.947304,883.0,883.8,5.8,179.0,254.6,83.5,91127.5,-220.1,0.0,7.2,293,100,1,12,261.4525413515617,0.0008113211874758,254.6,889.4305278491779,5.8,0.1012239573362439,-5.799116631907069
714,716,31980,23:47:50,76.991551,11.891744,76.946733,894.5,895.8,6.4,176.4,254.6,83.5,90995.2,-221.4,0.0,7.2,293,100,1,12,261.5611481657324,0.0008125007858843,254.6,900.1864427638241,6.4,0.4018593249876041,-6.387371061940939
715,717,31990,23:48:00,76.991667,11.892028,76.946138,907.0,909.5,6.7,173.8,254.4,83.1,90844.3,-219.3,0.0,7.2,293,100,1,12,261.4797062988469,0.0007962823733576,254.4,912.4736343094164,6.7,0.7235956832303534,-6.660811458614513
716,718,32000,23:48:10,76.991782,11.892319,76.945591,917.5,920.5,6.1,173.2,254.3,83.1,90724.0,-221.0,0.0,7.2,293,100,1,12,261.4759503314048,0.0007905723864279,254.3,922.2838189439,6.1,0.7222642066696574,-6.057089599449875
717,719,32010,23:48:20,76.991898,11.892529,76.94502,923.6,926.8,6.4,175.3,254.3,83.1,90654.5,-223.9,0.0,7.2,293,100,1,12,261.5332373895127,0.0007911784763722,254.3,927.9573121289308,6.4,0.5244064552322614,-6.378479275635435
718,720,32020,23:48:30,76.992014,11.892682,76.94444,928.4,932.2,6.5,176.6,254.2,83.1,90595.1,-225.6,0.0,7.2,293,0,1,12,261.4793804127335,0.0007849732760915,254.2,932.8097604785676,6.5,0.3854914282437504,-6.488558881504474
719,721,32030,23:48:40,76.99213,11.892747,76.94387,932.6,935.3,6.4,178.5,254.2,83.1,90561.2,-226.0,0.0,7.2,293,0,1,12,261.5073563805665,0.0007852671170969,254.2,935.5805132671584,6.4,0.1675324691703899,-6.397806879843567
720,722,32040,23:48:50,76.992245,11.892737,76.943284,935.7,937.3,6.5,180.2,254.1,83.1,90539.2,-226.9,0.0,7.2,293,0,1,12,261.4226372885306,0.0007787810520189,254.1,937.3791969341584,6.5,-0.022689234198952,-6.499960399775637
721,723,32050,23:49:00,76.992361,11.892709,76.942682,935.9,936.9,6.7,180.6,254.1,83.1,90544.3,-224.3,0.0,7.2,293,0,1,12,261.4184279953961,0.0007787371863823,254.1,936.9621904443692,6.7,-0.0701609535788446,-6.699632634748932
722,724,32060,23:49:10,76.992477,11.892667,76.942072,933.6,935.2,6.8,180.9,254.1,83.1,90562.9,-231.6,0.0,7.2,293,0,1,12,261.4030790388022,0.0007785772476914,254.1,935.4415422620558,6.8,-0.1068097577203822,-6.799161100875292
723,725,32070,23:49:20,76.992593,11.892628,76.941471,934.5,935.5,6.7,180.8,254.1,83.1,90559.5,-224.3,0.0,7.2,293,0,1,12,261.405884459273,0.0007786064788891,254.1,935.7194868810265,6.7,-0.0935466082722756,-6.699346910862339
724,726,32080,23:49:30,76.992708,11.892622,76.940876,934.5,935.5,6.6,180.1,254.1,83.1,90559.5,-224.3,0.0,7.2,293,0,1,12,261.405884459273,0.0007786064788891,254.1,935.7194868810265,6.6,-0.0115191672149273,-6.599989947627699
725,727,32090,23:49:40,76.992824,11.892697,76.940264,934.0,934.1,6.8,178.4,254.1,83.1,90574.8,-228.2,0.0,7.2,293,0,1,12,261.3932611335739,0.0007784749557819,254.1,934.4688182635437,6.8,0.1898671433202695,-6.797348782274409
726,728,32100,23:49:50,76.99294,11.892734,76.939638,935.4,935.9,7.0,179.2,254.1,83.1,90554.4,-226.9,0.0,7.2,293,0,1,12,261.4100928439322,0.0007786503298012,254.1,936.1364233762034,7.0,0.0977352623740179,-6.99931766806513
727,729,32110,23:50:00,76.993056,11.892586,76.939028,934.0,935.9,6.8,183.2,254.1,83.1,90554.4,-226.9,0.0,7.2,293,0,1,12,261.4100928439322,0.0007786503298012,254.1,936.1364233762034,6.8,-0.3795862339535135,-6.789397196437471
728,730,32120,23:50:10,76.993171,11.892295,76.938412,932.9,934.9,6.9,186.1,254.1,83.1,90566.3,-227.3,0.0,7.2,293,0,1,12,261.4002737537594,0.0007785480186886,254.1,935.1636080777556,6.9,-0.7332220922200086,-6.860931814519112
729,731,32130,23:50:20,76.993287,11.892047,76.937777,934.2,936.6,7.1,185.0,254.1,83.5,90547.6,-227.7,0.0,7.2,293,0,1,12,261.4157044975844,0.0007824571028669,254.1,936.692375231762,7.1,-0.6188057735083714,-7.072982356451393
730,732,32140,23:50:30,76.993403,11.89201,76.937141,939.2,941.5,7.1,180.8,254.1,83.5,90493.4,-226.9,0.0,7.2,293,0,1,12,261.4604520598228,0.0007829257467125,254.1,941.1251317524008,7.1,-0.0991314804079338,-7.099307920466059
731,733,32150,23:50:40,76.993519,11.89215,76.936567,942.5,944.4,6.4,176.8,254.1,83.5,90461.2,-229.0,0.0,7.2,293,0,1,12,261.4870527268703,0.0007832044320389,254.1,943.7598717609133,6.4,0.3572576319562468,-6.390020890764679
732,734,32160,23:50:50,76.993634,11.892228,76.935992,946.8,948.3,6.4,178.2,254.1,83.5,90418.8,-224.8,0.0,7.2,293,0,1,12,261.5220982692898,0.0007835716993319,254.1,947.2306497361348,6.4,0.2010288581000236,-6.396841986340682
733,735,32170,23:51:00,76.99375,11.892206,76.935418,951.0,951.9,6.4,180.5,254.1,83.5,90379.8,-223.9,0.0,7.2,293,0,1,12,261.5543522188117,0.0007839098201982,254.1,950.4245479254288,6.4,-0.0558498271895917,-6.399756307610697
734,736,32180,23:51:10,76.993866,11.892112,76.934823,952.4,955.6,6.6,182.1,254.0,83.5,90339.1,-229.0,0.0,7.2,293,0,1,12,261.4850843153869,0.0007775903547932,254.0,953.7591372828406,6.6,-0.2418484774632702,-6.595567398939131
735,737,32190,23:51:20,76.993981,11.892101,76.934217,955.5,960.6,6.7,180.2,254.0,83.5,90284.8,-228.2,0.0,7.2,293,0,1,12,261.53002990165,0.0007780580210699,254.0,958.2103274102368,6.7,-0.0233873644819967,-6.699959181307196
736,738,32200,23:51:30,76.994097,11.892168,76.933615,960.5,966.6,6.7,178.5,254.0,83.5,90218.7,-226.9,0.0,7.2,294,0,1,12,261.5847896012897,0.0007786280762269,254.0,963.632425489207,6.7,0.1753855536627519,-6.697704077336234
737,739,32210,23:51:40,76.994213,11.892346,76.933032,966.3,974.0,6.5,176.1,253.9,83.5,90137.3,-225.6,0.0,7.2,294,0,1,12,261.5492826011296,0.0007726946650176,253.9,970.3150238097808,6.5,0.4420993893241152,-6.484947812431434
738,740,32220,23:51:50,76.994329,11.892463,76.932464,975.1,983.7,6.3,177.3,253.9,83.5,90032.2,-223.5,0.0,7.2,294,0,1,12,261.636524603714,0.0007735966779562,253.9,978.9522244767752,6.3,0.2967706394707479,-6.293006212260411
739,741,32230,23:52:00,76.994444,11.892384,76.931891,983.9,994.7,6.4,181.8,253.8,83.5,89911.8,-229.0,0.0,7.2,294,0,1,12,261.633541495618,0.0007680301808213,253.8,988.8591910836802,6.4,-0.201028858100022,-6.396841986340682
740,742,32240,23:52:10,76.99456,11.89224,76.931306,994.6,1007.2,6.5,183.2,253.7,83.5,89776.2,-226.9,0.0,7.1,294,100,1,12,261.6433136397239,0.000762628377717,253.7,1000.03276779039,6.5,-0.3628397824555644,-6.489864967182877
741,743,32250,23:52:20,76.994676,11.89215,76.930714,1006.0,1020.1,6.6,182.0,253.6,83.5,89635.5,-231.1,0.0,7.1,294,100,1,12,261.6574716816325,0.0007573035867761,253.6,1011.644444687171,6.6,-0.2303366782365059,-6.595979458326032
742,744,32260,23:52:30,76.994792,11.892141,76.930124,1017.0,1031.3,6.6,180.2,253.5,83.5,89513.4,-231.1,0.0,7.1,294,100,1,12,261.6562301276884,0.0007518558050588,253.5,1021.735883770719,6.6,-0.0230382993404743,-6.599959790541416
743,745,32270,23:52:40,76.994907,11.892126,76.92953,1025.8,1040.5,6.6,180.3,253.5,83.5,89413.4,-230.2,0.0,7.1,294,100,1,12,261.7398488053373,0.0007526966810405,253.5,1030.01103935696,6.6,-0.0345573612873692,-6.599909528833016
744,746,32280,23:52:50,76.995023,11.891742,76.928955,1035.9,1052.9,6.5,188.6,253.5,83.5,89279.4,-229.8,0.0,7.2,294,0,1,12,261.8520865552909,0.0007538264081138,253.5,1041.114269541838,6.5,-0.9719797323841112,-6.426916476805538
745,747,32290,23:53:00,76.995139,11.891381,76.928387,1050.8,1070.1,6.4,188.2,253.4,83.5,89092.9,-230.2,0.0,7.1,294,100,1,12,261.9053026269162,0.0007489429458737,253.4,1056.595415303784,6.4,-0.9128251757152738,-6.33456787780985
746,748,32300,23:53:10,76.995255,11.890972,76.927821,1067.0,1088.0,6.4,189.3,253.3,83.5,88899.7,-231.5,0.0,7.1,294,100,1,12,261.9644602945266,0.000744144743172,253.3,1072.666931980928,6.4,-1.034264455061511,-6.315876585003567
747,749,32310,23:53:20,76.99537,11.890549,76.927288,1083.7,1105.2,6.0,190.2,253.1,83.5,88713.2,-228.1,0.0,7.1,294,100,1,12,261.9148044893719,0.0007329784536016,253.1,1088.214268828741,6.0,-1.062508441917499,-5.905173647815452
748,750,32320,23:53:30,76.995486,11.890118,76.926787,1095.9,1117.7,5.7,191.0,253.0,83.5,88579.2,-227.7,0.0,7.1,294,100,1,12,261.9244771314043,0.0007277857494594,253.0,1099.405201416256,5.7,-1.087611273646305,-5.595274945651685
749,751,32330,23:53:40,76.995602,11.889685,76.926274,1103.0,1125.1,5.8,190.8,252.9,83.5,88499.5,-231.9,0.0,7.1,294,100,1,12,261.8883295877891,0.0007221825286692,252.9,1106.069332688562,5.8,-1.086811624597204,-5.697266054226394
750,752,32340,23:53:50,76.995718,11.889291,76.925783,1108.4,1130.6,5.5,190.3,252.9,83.5,88440.2,-233.6,0.0,7.2,294,0,1,12,261.9385135971387,0.0007226667589621,252.9,1111.031608971522,5.5,-0.9834121831399244,-5.411367708634478
751,753,32350,23:54:00,76.995833,11.888837,76.925318,1114.6,1136.7,5.3,192.5,252.8,83.5,88374.1,-228.5,0.0,7.2,294,0,1,12,261.8909071979104,0.0007169880632035,252.8,1116.566838206047,5.3,-1.147129953871946,-5.174368837735646
752,754,32360,23:54:10,76.995949,11.888172,76.924839,1123.2,1143.8,5.6,197.4,252.8,83.5,88297.8,-228.5,0.0,7.2,294,0,1,12,261.9555781569651,0.0007176076277818,252.8,1122.961367819606,5.6,-1.674628436634086,-5.34374583969115
753,755,32370,23:54:20,76.996065,11.887558,76.924362,1129.1,1153.2,5.5,196.2,252.8,83.5,88197.7,-227.7,0.0,7.2,294,0,1,12,262.0405307675569,0.0007184220767248,252.8,1131.358906341864,5.5,-1.534451083215759,-5.281615271223187
754,756,32380,23:54:30,76.996181,11.886873,76.92386,1137.2,1163.6,5.8,197.2,252.7,83.5,88085.8,-230.2,0.0,7.2,294,0,1,12,262.0319517586614,0.0007131432859877,252.7,1140.757654179818,5.8,-1.71510669025547,-5.540614500309593
755,757,32390,23:54:40,76.996296,11.886043,76.923361,1146.9,1174.2,5.9,200.6,252.6,83.5,87972.3,-227.2,0.0,7.1,294,100,1,12,262.0248151317419,0.0007079118103883,252.6,1150.302994757956,5.9,-2.07586572558774,-5.522751260859943
756,758,32400,23:54:50,76.996412,11.885111,76.922869,1155.0,1183.0,6.0,203.2,252.5,83.5,87877.3,-231.5,0.0,7.1,294,100,1,12,262.0019932213623,0.0007025664889341,252.5,1158.301959461362,6.0,-2.363651457545704,-5.514812035531408
757,759,32410,23:55:00,76.996528,11.884196,76.922359,1160.5,1188.9,6.1,202.1,252.4,83.5,87814.6,-233.6,0.0,7.1,294,0,1,12,261.951670599444,0.0006970004571205,252.4,1163.586014559018,6.1,-2.294968005150129,-5.651824648318208
758,760,32420,23:55:10,76.996644,11.883316,76.921841,1164.6,1192.6,6.2,201.0,252.3,83.5,87775.6,-236.6,0.0,7.1,294,0,1,12,261.8811383676627,0.0006912867880217,252.3,1166.874650950491,6.2,-2.221881287180863,-5.78819864428265
759,761,32430,23:55:20,76.996759,11.882387,76.921318,1165.5,1193.2,6.3,201.9,252.3,83.5,87768.8,-241.2,0.0,7.1,294,0,1,12,261.8869381159045,0.0006913403463495,252.3,1167.448203812038,6.3,-2.349823030227597,-5.845368399563196
760,762,32440,23:55:30,76.996875,11.881494,76.920785,1166.5,1195.4,6.3,200.8,252.2,83.1,87745.1,-244.2,0.0,7.1,294,0,1,12,261.8033486308544,0.0006822642663619,252.2,1169.447551614816,6.3,-2.237173863171263,-5.889401761294891
761,763,32450,23:55:40,76.996991,11.880791,76.920289,1167.3,1196.5,5.8,197.8,252.2,83.1,87733.2,-243.8,0.0,7.1,294,0,1,12,261.8134990818615,0.0006823568076664,252.2,1170.451647208642,5.8,-1.773032768786013,-5.522350477904404
762,764,32460,23:55:50,76.997106,11.880096,76.919801,1168.0,1196.0,5.7,197.9,252.1,83.1,87738.3,-252.7,0.0,7.1,294,0,1,12,261.7053385414855,0.0006764127422178,252.1,1170.021303849777,5.7,-1.7519327214589,-5.424088102112798
763,765,32470,23:56:00,76.997222,11.879387,76.919297,1166.1,1193.0,5.9,197.7,252.1,83.1,87770.5,-254.4,0.0,7.1,294,0,1,12,261.6778896402346,0.0006761645894752,252.1,1167.304811430814,5.9,-1.793795059460391,-5.620702739396159
764,766,32480,23:56:10,76.997338,11.878685,76.918793,1158.8,1184.2,5.9,197.5,252.1,83.1,87865.4,-253.9,0.0,7.1,295,0,1,12,261.5970673606793,0.0006754342904093,252.1,1159.304544421313,5.9,-1.774164217075211,-5.626930009414539
765,767,32490,23:56:20,76.997454,11.878085,76.918281,1145.7,1170.9,5.9,194.9,252.2,83.1,88007.9,-251.4,0.0,7.1,295,0,1,12,261.579635902445,0.000680226960061,252.2,1147.307712771963,5.9,-1.517083479612708,-5.701618867995843
766,768,32500,23:56:30,76.997569,11.877461,76.917773,1131.5,1154.9,5.9,195.5,252.3,83.1,88179.1,-254.8,0.0,7.1,295,0,1,12,261.5380222124747,0.0006848271188686,252.3,1132.920338086497,5.9,-1.576706418861715,-5.685419673930876
767,769,32510,23:56:40,76.997685,11.876857,76.917266,1117.6,1137.8,5.8,195.1,252.4,83.1,88362.2,-251.0,0.0,7.1,295,0,1,12,261.4865884690428,0.0006893627595966,252.4,1117.563786698455,5.8,-1.51092615012736,-5.599741259099505
768,770,32520,23:56:50,76.997801,11.876145,76.916753,1103.0,1120.7,6.0,197.4,252.6,83.1,88547.0,-248.9,0.0,7.1,295,0,1,12,261.5375481171216,0.0006999480388335,252.6,1102.096888611966,6.0,-1.794244753536521,-5.725441971097661
769,771,32530,23:57:00,76.997917,11.875435,76.91626,1087.8,1104.9,5.8,198.0,252.7,83.1,88716.6,-246.8,0.0,7.1,295,0,1,12,261.498008699774,0.0007046806717467,252.7,1087.930539734446,5.8,-1.792298567374694,-5.516127794511891
770,772,32540,23:57:10,76.998032,11.874898,76.915758,1074.0,1089.5,5.7,193.6,252.7,83.5,88882.7,-248.9,0.0,7.1,295,0,1,12,261.358224214201,0.0007067494221132,252.7,1074.08276382375,5.7,-1.340310044684762,-5.540177703297714
771,773,32550,23:57:20,76.998148,11.87435,76.91528,1059.5,1073.7,5.5,194.5,252.9,83.5,89054.0,-244.7,0.0,7.1,295,0,1,12,261.4211537229136,0.0007176858164255,252.9,1059.828542988919,5.5,-1.377090022299428,-5.324812022079593
772,774,32560,23:57:30,76.998264,11.87381,76.914816,1046.3,1060.1,5.3,194.8,253.0,83.5,89201.5,-247.2,0.0,7.1,295,0,1,12,261.4008323969123,0.0007227084685629,253.0,1047.576720429909,5.3,-1.353862517059691,-5.124163959603634
773,775,32570,23:57:40,76.99838,11.873291,76.914352,1035.4,1049.0,5.3,194.2,253.2,83.5,89321.8,-245.5,0.0,7.1,295,0,1,12,261.5067070372166,0.0007342818439004,253.2,1037.599207378466,5.3,-1.300129145157651,-5.138060354444236
774,776,32580,23:57:50,76.998495,11.872931,76.913892,1025.2,1038.2,5.2,190.0,253.1,83.5,89438.8,-240.4,0.0,7.1,295,0,1,12,261.3056300698544,0.0007270319385999,253.1,1027.908273335956,5.2,-0.9029705238680384,-5.121000315663482
775,777,32590,23:58:00,76.998611,11.872548,76.913422,1017.0,1029.0,5.3,190.5,253.2,83.5,89538.8,-241.3,0.0,7.1,295,0,1,12,261.3253828808117,0.0007325022895605,253.2,1019.635466524038,5.3,-0.9658482851083816,-5.211251010088959
776,778,32600,23:58:10,76.998727,11.872191,76.912962,1008.1,1018.1,5.2,190.0,253.3,83.5,89657.5,-241.7,0.0,7.1,295,0,1,12,261.3296066413528,0.0007378551088818,253.3,1009.827629018969,5.2,-0.9029705238680384,-5.121000315663482
777,779,32610,23:58:20,76.998843,11.871918,76.912494,997.2,1005.9,5.3,187.5,253.5,83.5,89789.8,-240.4,0.0,7.1,295,0,1,12,261.4257315542517,0.0007495413668429,253.5,998.9113529001492,5.3,-0.691788818766272,-5.254657765281196
778,780,32620,23:58:30,76.998958,11.871665,76.912009,988.9,996.1,5.4,186.7,253.6,83.5,89896.6,-244.2,0.0,7.1,295,0,1,12,261.4400034365589,0.0007551040378888,253.6,990.110847500195,5.4,-0.6300219803363976,-5.363121507507826
779,781,32630,23:58:40,76.999074,11.871452,76.911479,982.4,987.1,5.9,185.2,253.7,83.9,89994.9,-239.6,0.0,7.1,295,0,1,12,261.461399724479,0.0007644195172877,253.7,982.0199921733569,5.9,-0.5347322231669004,-5.875717951834226
780,782,32640,23:58:50,76.99919,11.871268,76.910969,975.6,979.0,5.7,184.7,253.8,83.9,90083.1,-240.0,0.0,7.1,295,0,1,12,261.4912264717136,0.0007702419021133,253.8,974.7679640622288,5.7,-0.4670494991912313,-5.680833104862809
781,783,32650,23:59:00,76.999306,11.871056,76.910458,968.5,970.6,5.7,185.4,253.9,83.9,90174.6,-236.2,0.0,7.1,295,0,1,12,261.5183518490484,0.0007760750462879,253.9,967.2521016074024,5.7,-0.5364173859155329,-5.674703198237556
782,784,32670,23:59:20,76.999537,11.870359,76.909495,952.6,952.0,5.4,189.3,254.0,83.9,90378.1,-237.5,0.0,7.1,295,0,1,13,261.4528243844123,0.0007809781849682,254.0,950.5638004738704,5.4,-0.8726606339581502,-5.32902086859676
783,785,32700,23:59:50,76.999884,11.868828,76.908019,926.8,924.0,5.6,193.2,254.2,83.9,90685.0,-235.4,0.0,7.1,295,0,1,13,261.4052555917812,0.0007917445090999,254.2,925.4669703923282,5.6,-1.278764872619671,-5.452041856089697
784,786,32730,0:00:20,77.000231,11.866789,76.90639,896.1,892.1,6.3,195.8,254.5,84.3,91035.9,-235.4,0.0,7.1,295,0,1,13,261.4249943671148,0.0008129733475999,254.5,896.8758913224729,6.3,-1.715365556355619,-6.061973359234498
785,787,32760,0:00:50,77.000579,11.864126,76.904643,867.7,864.3,6.9,199.0,254.7,84.3,91342.8,-229.5,0.0,7.1,295,0,1,13,261.3788537275617,0.0008241383882863,254.7,871.960099115483,6.9,-2.246420265754382,-6.524078171635286
786,788,32790,0:01:20,77.000926,11.862303,76.902891,871.2,867.8,6.7,193.3,254.8,83.9,91303.8,-232.4,0.0,7.1,295,0,1,13,261.51339859892,0.0008275758527738,254.8,875.1216817618961,6.7,-1.5413332391603,-6.520298447606492
787,789,32820,0:01:50,77.001273,11.860985,76.901367,867.4,863.4,5.8,191.1,254.8,83.9,91353.0,-232.0,0.0,7.0,295,0,1,13,261.4731298670156,0.0008271301451128,254.8,871.1334463434748,5.8,-1.116627405850262,-5.691497451155022
788,790,32850,0:02:20,77.00162,11.859581,76.900064,859.9,856.3,5.0,193.7,254.9,83.9,91431.0,-229.9,0.0,7.0,295,0,1,13,261.5119402470227,0.0008334656997871,254.9,864.815033930332,5.0,-1.184190730328092,-4.857745599988231
789,791,32880,0:02:50,77.001968,11.858166,76.89874,840.5,837.0,5.1,193.6,255.1,83.9,91644.6,-229.9,0.0,7.0,295,0,1,13,261.5426116276095,0.0008457336142151,255.1,847.5398572839706,5.1,-1.199224776823208,-4.957001102950586
790,792,32910,0:03:20,77.002315,11.855904,76.897506,824.6,819.3,5.0,202.6,255.2,83.9,91841.3,-232.0,0.0,7.0,295,0,1,13,261.4848275269707,0.0008510933377785,255.2,831.6670644701757,5.0,-1.921476613299018,-4.616051085564905
791,793,32940,0:03:50,77.002662,11.85488,76.895934,832.0,827.2,5.9,188.4,255.2,83.9,91753.1,-231.6,0.0,7.0,295,0,1,13,261.5566554823432,0.0008519114728866,255.2,838.7801938152622,5.9,-0.8618898685182291,-5.836706764481631
792,794,32970,0:04:20,77.003009,11.854196,76.894197,832.2,825.1,6.5,185.1,255.2,83.9,91776.8,-232.4,0.0,7.0,295,0,1,14,261.5373460527816,0.0008516914793598,255.2,836.8681711413553,6.5,-0.5778129296318677,-6.474266925170003
793,795,33000,0:04:50,77.003356,11.854293,76.892478,807.3,798.3,6.4,179.3,255.3,83.9,92073.6,-231.6,0.0,7.0,295,0,1,14,261.3984604278156,0.0008561533759812,255.3,812.9652371349948,6.4,0.0781888053455806,-6.399522365826893
794,796,33030,0:05:20,77.003704,11.85393,76.890916,790.2,781.0,5.8,183.0,255.4,83.9,92266.8,-226.5,0.0,7.0,295,0,1,14,261.3442072741483,0.0008616074993133,255.4,797.4471468885339,5.8,-0.3035485462090726,-5.792051301576528
795,797,33060,0:05:50,77.004051,11.85346,76.88925,782.8,771.1,6.2,183.7,255.6,83.9,92377.0,-226.1,0.0,7.0,295,0,1,14,261.4596335449355,0.0008752211357565,255.6,788.6102775353972,6.2,-0.4001003111683386,-6.18707683328751
796,798,33090,0:06:20,77.004398,11.852816,76.887504,760.2,743.0,6.5,184.8,255.8,83.9,92690.7,-226.9,0.0,7.0,295,0,1,14,261.4107661477423,0.0008870727781426,255.8,763.5124676830866,6.5,-0.5439059816600507,-6.477203585121778
797,799,33120,0:06:50,77.004745,11.851751,76.885652,729.7,712.7,6.9,187.4,256.0,83.9,93029.8,-222.7,0.0,7.0,295,0,1,14,261.3422031429056,0.000898822975301,256.0,736.4778678310757,6.9,-0.8886896163851822,-6.842531020443325
798,800,33150,0:07:20,77.005093,11.850014,76.883833,719.4,708.0,6.9,192.2,256.1,83.9,93082.3,-221.9,0.0,7.0,296,0,1,14,261.4021293173561,0.0009058884649661,256.1,732.3011395491907,6.9,-1.458141095542182,-6.744169670574061
799,801,33180,0:07:50,77.00544,11.848224,76.881772,715.4,701.6,7.8,191.2,256.1,83.9,93153.6,-216.8,0.0,6.9,296,0,1,14,261.3449201112089,0.000905195095654,256.1,726.632515347005,7.8,-1.515027939515779,-7.651450211723694
800,802,33210,0:08:20,77.005787,11.847259,76.879875,707.7,690.5,7.1,186.6,256.2,83.9,93279.0,-220.2,0.0,6.9,296,0,1,14,261.3464477485151,0.0009115916084879,256.2,716.6732509221508,7.1,-0.8160537684993515,-7.052946635762814
801,803,33240,0:08:50,77.006134,11.846779,76.877967,705.9,688.6,7.1,183.3,256.3,83.9,93299.4,-217.6,0.0,6.9,296,0,1,14,261.4321139727225,0.000919061344343,256.3,715.054349806597,7.1,-0.4087045914129297,-7.088226897959601
802,804,33270,0:09:20,77.006481,11.846649,76.875915,713.6,695.7,7.6,180.8,256.3,83.9,93219.7,-218.1,0.0,6.9,296,0,1,14,261.4959881324205,0.0009198471137581,256.3,721.3811854736548,7.6,-0.1061125705775066,-7.599259182470712
803,805,33300,0:09:50,77.006829,11.846219,76.873852,711.1,694.1,7.7,182.7,256.3,83.9,93238.3,-217.6,0.0,6.9,296,0,1,14,261.4810752102959,0.0009196636145274,256.3,719.9041754530107,7.7,-0.3627196704642455,-7.691452037207169
804,806,33330,0:10:20,77.007176,11.845786,76.871833,714.7,698.9,7.5,182.8,256.3,83.9,93184.1,-216.8,0.0,6.9,296,0,1,14,261.5245418172534,0.0009201985316206,256.3,724.208972901647,7.5,-0.366373273467099,-7.491046030060756
805,807,33360,0:10:50,77.007523,11.845266,76.869876,726.3,708.0,7.3,183.5,256.2,83.5,93082.3,-214.2,0.0,6.9,296,0,1,14,261.5041996528959,0.0009091626986121,256.2,732.3011395491916,7.3,-0.4456543386044557,-7.286384028479628
806,808,33390,0:11:20,77.00787,11.844564,76.867959,732.0,715.5,7.1,184.8,256.1,83.5,92997.6,-217.2,0.0,6.9,296,0,1,14,261.470163596394,0.0009023906969268,256.1,739.0407608461566,7.1,-0.5941126876594399,-7.07509930067148
807,809,33420,0:11:50,77.008218,11.844082,76.865915,745.6,726.3,7.6,183.1,256.1,83.5,92877.2,-218.9,0.0,6.9,296,0,1,14,261.5670107295533,0.0009035604979103,256.1,748.6316208358209,7.6,-0.4109989786842927,-7.588878694479209
808,810,33450,0:12:20,77.008565,nan,nan,nan,728.3,nan,nan,256.0,83.5,92855.2,-223.6,0.0,6.9,296,0,1,14,261.4825828601063,0.0008962198058863,256.0,750.3854469398726,nan,nan,nan
809,811,33480,0:12:50,77.008912,nan,nan,nan,719.2,nan,nan,256.1,83.5,92956.9,-218.5,0.0,6.9,295,0,1,14,261.5028837409762,0.0009027857972514,256.1,742.2814639216808,nan,nan,nan
810,812,33510,0:13:20,77.009259,11.842128,76.860028,729.4,712.4,7.3,184.3,256.2,83.5,93033.2,-218.5,0.0,6.9,295,0,1,14,261.54364434389,0.00090964252612,256.2,736.2073035788875,7.3,-0.5473447058321929,-7.279451474733345
811,813,33540,0:13:50,77.009606,nan,nan,nan,719.9,nan,nan,256.2,83.5,92948.4,-213.8,0.0,6.9,295,0,1,14,261.6118318583308,0.0009104724240656,256.2,742.9584483390718,nan,nan,nan
812,814,33570,0:14:20,77.009954,11.840501,76.856418,761.5,724.5,6.7,185.9,256.2,83.5,92897.5,-216.4,0.0,6.9,295,0,1,14,261.6527988781575,0.0009109712862135,256.2,747.013686138918,6.7,-0.6887099964745546,-6.664508874685067
813,815,33600,0:14:50,77.010301,11.839918,76.854492,729.5,726.9,7.2,183.9,256.2,83.5,92870.4,-215.9,0.0,6.8,295,0,1,14,261.6746221718453,0.000911237111728,256.2,749.1736681782534,7.2,-0.4897100927897874,-7.183326807616358
814,816,33630,0:15:20,77.010648,nan,nan,nan,731.0,nan,nan,256.1,83.9,92824.6,-219.7,0.0,6.8,295,0,1,14,261.6093717053792,0.0009084033958941,256.1,752.825550667599,nan,nan,nan
815,817,33660,0:15:50,77.010995,11.842005,76.849359,866.3,729.6,9.6,174.7,256.1,83.9,92839.9,-215.9,0.0,6.8,295,0,1,14,261.5970467939665,0.0009082536911663,256.1,751.6053982715644,9.6,0.8867576394869925,-9.558957102571988
816,818,33690,0:16:20,77.011343,nan,nan,nan,711.2,nan,nan,256.2,83.9,93046.7,-216.8,0.0,6.8,295,0,1,14,261.5327963945329,0.0009138674842648,256.2,735.1331019096443,nan,nan,nan
817,819,33720,0:16:50,77.01169,11.83704,76.847687,706.0,678.5,3.7,214.0,256.4,83.9,93413.0,-216.8,0.0,6.8,295,0,1,14,261.4431593385605,0.0009256610117453,256.4,706.0457614764686,3.7,-2.069013742841763,-3.067439018453655
818,820,33750,0:17:20,77.012037,nan,nan,nan,655.5,nan,nan,256.6,83.9,93672.4,-216.8,0.0,6.8,295,0,1,14,261.4397678490179,0.0009386634627317,256.6,685.5160960886024,nan,nan,nan
819,821,33780,0:17:50,77.012384,11.835386,76.843499,662.3,634.2,7.8,185.1,256.7,83.9,93913.1,-213.4,0.0,6.8,295,0,1,14,261.3498591660221,0.0009441080944803,256.7,666.5171906552495,7.8,-0.6933755155582412,-7.769120310204003
