 Msg, Time[s], UTC[hms], Julian Day,      Lon[d],     Lat[d], Alt[m], HDoP,   LonMsg[d],  LatMsg[d], CEPr,  Zp[m], S[m/s], D[deg],  T[K], RH[%],    P[Pa], DP[Pa], Pv[mA], Vb[V], Tb[K], PP[%], M, C
 619,   22730,  8:25:00,  94.350694,    5.966797,  78.941229, 2571.5,  0.5,         nan,        nan,  nan, 2707.5,    5.5,  245.7, 254.2,  41.2,  72742.0,   1791,   25.0,   7.6,   281,     0, 1, 4
 620,   22740,  8:25:10,  94.350810,    5.964293,  78.941046, 2564.3,  0.5,         nan,        nan,  nan, 2697.9,    5.7,  249.2, 254.6,  41.6,  72830.2,   1787,   19.0,   7.6,   281,     0, 1, 4
 621,   22750,  8:25:20,  94.350926,    5.961794,  78.940870, 2556.8,  0.5,         nan,        nan,  nan, 2690.1,    5.7,  249.7, 254.1,  41.6,  72901.4,   1750,   17.0,   7.5,   281,     0, 1, 4
 622,   22760,  8:25:30,  94.351042,    5.959285,  78.940703, 2549.8,  0.5,         nan,        nan,  nan, 2682.6,    5.7,  250.9, 254.3,  41.6,  72970.9,   1658,   14.0,   7.6,   281,     0, 1, 4
 623,   22770,  8:25:40,  94.351157,    5.956810,  78.940542, 2541.0,  0.6,         nan,        nan,  nan, 2674.1,    5.6,  251.3, 255.8,  41.6,  73048.9,   1625,   20.0,   7.6,   281,     0, 1, 4
 624,   22780,  8:25:50,  94.351273,    5.954304,  78.940385, 2534.0,  0.5,         nan,        nan,  nan, 2665.5,    5.6,  251.9, 255.1,  41.6,  73128.6,   1561,   27.0,   7.6,   281,     0, 1, 4
 625,   22790,  8:26:00,  94.351389,    5.951790,  78.940231, 2526.5,  0.5,    5.989450,  78.944000,  4.0, 2657.6,    5.6,  252.3, 254.7,  42.0,  73201.5,   1515,   23.0,   7.6,   281,     0, 1, 4
 626,   22800,  8:26:10,  94.351505,    5.949297,  78.940070, 2516.0,  0.5,         nan,        nan,  nan, 2648.8,    5.6,  251.4, 254.6,  42.0,  73282.9,   1437,   22.0,   7.6,   281,     0, 1, 4
 627,   22810,  8:26:20,  94.351620,    5.946760,  78.939912, 2507.0,  0.6,         nan,        nan,  nan, 2641.2,    5.7,  252.0, 254.9,  42.0,  73352.4,   1410,   18.0,   7.5,   281,     0, 1, 4
 628,   22820,  8:26:30,  94.351736,    5.944181,  78.939765, 2501.0,  0.6,         nan,        nan,  nan, 2633.2,    5.7,  253.4, 254.7,  42.0,  73427.0,   1396,   16.0,   7.6,   281,     0, 1, 4
 629,   22830,  8:26:40,  94.351852,    5.941575,  78.939619, 2494.7,  0.5,         nan,        nan,  nan, 2624.6,    5.8,  253.7, 254.8,  42.0,  73506.7,   1275,   15.0,   7.5,   281,     0, 1, 4
 630,   22840,  8:26:50,  94.351968,    5.938988,  78.939469, 2486.9,  0.5,         nan,        nan,  nan, 2617.6,    5.8,  253.2, 256.0,  42.0,  73571.1,   1244,   24.0,   7.6,   281,     0, 1, 4
 631,   22850,  8:27:00,  94.352083,    5.936368,  78.939322, 2480.9,  0.5,         nan,        nan,  nan, 2610.7,    5.8,  253.7, 255.2,  42.0,  73635.5,   1207,   20.0,   7.6,   281,     0, 1, 4
 632,   22860,  8:27:10,  94.352199,    5.933768,  78.939172, 2473.1,  0.5,         nan,        nan,  nan, 2603.2,    5.8,  253.3, 254.9,  42.4,  73705.0,   1152,   25.0,   7.6,   281,     0, 1, 4
 633,   22870,  8:27:20,  94.352315,    5.931200,  78.939016, 2464.0,  0.6,         nan,        nan,  nan, 2596.2,    5.8,  252.4, 255.3,  42.4,  73769.5,   1130,   22.0,   7.6,   281,     0, 1, 4
 634,   22880,  8:27:30,  94.352431,    5.928540,  78.938873, 2459.7,  0.5,         nan,        nan,  nan, 2588.9,    5.9,  254.3, 254.9,  42.4,  73837.3,   1085,   19.0,   7.6,   281,     0, 1, 4
 635,   22890,  8:27:40,  94.352546,    5.925827,  78.938727, 2453.3,  0.5,         nan,        nan,  nan, 2582.0,    6.0,  254.3, 255.2,  42.4,  73901.7,   1013,   19.0,   7.6,   281,     0, 1, 4
 636,   22900,  8:27:50,  94.352662,    5.923168,  78.938583, 2446.9,  0.5,         nan,        nan,  nan, 2576.4,    5.9,  254.3, 256.4,  42.4,  73954.3,    995,   20.0,   7.6,   281,     0, 1, 4
 637,   22910,  8:28:00,  94.352778,    5.920458,  78.938443, 2441.9,  0.5,    5.617580,  78.951120,  7.0, 2570.2,    6.0,  255.0, 255.2,  42.4,  74011.9,    933,   16.0,   7.6,   281,     0, 1, 4
 638,   22920,  8:28:10,  94.352894,    5.917820,  78.938300, 2433.2,  0.5,         nan,        nan,  nan, 2565.3,    5.9,  254.2, 255.3,  42.4,  74057.7,    907,   19.0,   7.5,   281,     0, 1, 4
 639,   22930,  8:28:20,  94.353009,    5.915128,  78.938163, 2427.7,  0.5,         nan,        nan,  nan, 2559.3,    5.9,  255.1, 255.4,  42.4,  74113.6,    896,   19.0,   7.5,   281,     0, 1, 4
 640,   22940,  8:28:30,  94.353125,    5.912377,  78.938022, 2423.2,  0.6,         nan,        nan,  nan, 2554.5,    6.1,  255.0, 255.3,  42.4,  74157.7,    849,   22.0,   7.5,   281,     0, 1, 4
 641,   22950,  8:28:40,  94.353241,    5.909625,  78.937871, 2418.8,  0.5,         nan,        nan,  nan, 2549.4,    6.1,  254.1, 256.1,  42.4,  74205.2,    809,   19.0,   7.5,   281,     0, 1, 4
 642,   22960,  8:28:50,  94.353356,    5.906873,  78.937712, 2416.0,  0.5,         nan,        nan,  nan, 2544.4,    6.1,  253.2, 255.6,  42.4,  74252.7,    776,   21.0,   7.6,   281,     0, 1, 4
 643,   22970,  8:29:00,  94.353472,    5.903862,  78.937535, 2411.5,  0.5,         nan,        nan,  nan, 2540.7,    6.7,  252.9, 255.2,  42.4,  74286.6,    765,   22.0,   7.6,   281,     0, 1, 4
 644,   22980,  8:29:10,  94.353588,    5.901465,  78.937380, 2404.3,  0.6,         nan,        nan,  nan, 2535.8,    5.4,  251.4, 255.6,  42.4,  74332.3,    754,   21.0,   7.6,   281,     0, 1, 4
 645,   22990,  8:29:20,  94.353704,    5.898731,  78.937219, 2401.7,  0.5,         nan,        nan,  nan, 2531.1,    6.1,  253.0, 255.3,  42.4,  74376.4,    710,   22.0,   7.5,   281,     0, 1, 4
 646,   23000,  8:29:30,  94.353819,    5.896007,  78.937060, 2399.7,  0.5,         nan,        nan,  nan, 2526.6,    6.1,  253.1, 255.3,  42.0,  74418.8,    652,   16.0,   7.5,   281,     0, 1, 4
 647,   23010,  8:29:40,  94.353935,    5.893338,  78.936898, 2396.3,  0.5,         nan,        nan,  nan, 2522.4,    6.0,  252.4, 256.5,  42.0,  74457.8,    648,   25.0,   7.6,   281,     0, 1, 4
 648,   23020,  8:29:50,  94.354051,    5.890425,  78.936719, 2393.4,  0.5,         nan,        nan,  nan, 2518.6,    6.5,  252.3, 255.7,  42.0,  74493.4,    623,   21.0,   7.5,   281,     0, 1, 4
 649,   23030,  8:30:00,  94.354167,    5.888109,  78.936573, 2387.3,  0.5,    5.803580,  78.947620,  4.0, 2514.8,    5.2,  251.9, 255.7,  42.4,  74529.0,    576,   24.0,   7.6,   281,     0, 1, 4
 650,   23040,  8:30:10,  94.354282,    5.885540,  78.936418, 2382.7,  0.5,         nan,        nan,  nan, 2511.6,    5.8,  252.5, 255.8,  42.4,  74559.5,    580,   22.0,   7.6,   281,     0, 1, 4
 651,   23050,  8:30:20,  94.354398,    5.882966,  78.936283, 2381.5,  0.5,         nan,        nan,  nan, 2508.7,    5.7,  254.7, 255.4,  42.4,  74586.7,    580,   14.0,   7.5,   281,     0, 1, 4
 652,   23060,  8:30:30,  94.354514,    5.880385,  78.936151, 2379.4,  0.5,         nan,        nan,  nan, 2505.6,    5.7,  255.0, 256.2,  42.0,  74615.5,    536,   24.0,   7.5,   281,     0, 1, 4
 653,   23070,  8:30:40,  94.354630,    5.877557,  78.936018, 2378.1,  0.5,         nan,        nan,  nan, 2502.9,    6.2,  256.2, 255.6,  42.0,  74640.9,    499,   25.0,   7.5,   281,     0, 1, 4
 654,   23080,  8:30:50,  94.354745,    5.875306,  78.935904, 2373.1,  0.5,         nan,        nan,  nan, 2498.7,    5.0,  255.3, 255.7,  42.4,  74679.9,    467,   25.0,   7.5,   281,     0, 1, 4
 655,   23090,  8:31:00,  94.354861,    5.872822,  78.935777, 2370.3,  0.5,         nan,        nan,  nan, 2496.2,    5.5,  255.0, 255.6,  42.4,  74703.6,    474,   20.0,   7.5,   281,     0, 1, 4
 656,   23100,  8:31:10,  94.354977,    5.870333,  78.935645, 2369.1,  0.5,         nan,        nan,  nan, 2491.8,    5.5,  254.6, 255.2,  42.4,  74744.3,    422,   21.0,   7.6,   281,     0, 1, 4
 657,   23110,  8:31:20,  94.355093,    5.867904,  78.935513, 2365.9,  0.6,         nan,        nan,  nan, 2489.5,    5.4,  254.2, 256.2,  42.4,  74766.4,    415,   19.0,   7.5,   281,     0, 1, 4
 658,   23120,  8:31:30,  94.355208,    5.865517,  78.935383, 2364.3,  0.5,         nan,        nan,  nan, 2487.3,    5.3,  254.2, 255.4,  42.4,  74786.7,    391,   24.0,   7.5,   281,     0, 1, 4
 659,   23130,  8:31:40,  94.355324,    5.863214,  78.935252, 2359.4,  0.5,         nan,        nan,  nan, 2482.8,    5.1,  253.5, 255.6,  42.4,  74829.1,    364,   19.0,   7.6,   281,     0, 1, 4
 660,   23140,  8:31:50,  94.355440,    5.860861,  78.935131, 2355.6,  0.5,         nan,        nan,  nan, 2478.9,    5.2,  255.1, 255.3,  42.4,  74866.4,    353,   18.0,   7.5,   281,     0, 1, 4
 661,   23150,  8:32:00,  94.355556,    5.858498,  78.935024, 2353.3,  0.5,    5.803580,  78.947620,  3.0, 2475.2,    5.2,  256.7, 255.4,  42.4,  74900.3,    312,   18.0,   7.5,   281,     0, 1, 4
 662,   23160,  8:32:10,  94.355671,    5.856167,  78.934916, 2349.5,  0.5,         nan,        nan,  nan, 2469.8,    5.1,  256.5, 256.5,  42.7,  74951.2,    284,   17.0,   7.5,   281,     0, 1, 4
 663,   23170,  8:32:20,  94.355787,    5.853833,  78.934813, 2344.5,  0.5,         nan,        nan,  nan, 2465.2,    5.1,  257.0, 255.6,  42.4,  74995.3,    251,   27.0,   7.5,   281,     0, 1, 4
 664,   23180,  8:32:30,  94.355903,    5.851563,  78.934710, 2336.7,  0.5,         nan,        nan,  nan, 2460.3,    5.0,  256.7, 255.7,  42.7,  75041.0,    213,   17.0,   7.5,   281,     0, 1, 4
 665,   23190,  8:32:40,  94.356019,    5.849256,  78.934619, 2331.4,  0.5,         nan,        nan,  nan, 2454.9,    5.0,  258.4, 255.5,  42.7,  75091.9,    193,   21.0,   7.5,   281,     0, 1, 4
 666,   23200,  8:32:50,  94.356134,    5.846925,  78.934539, 2326.9,  0.5,         nan,        nan,  nan, 2449.0,    5.1,  259.8, 255.5,  42.7,  75147.9,    156,   15.0,   7.5,   281,     0, 1, 4
 667,   23210,  8:33:00,  94.356250,    5.844608,  78.934460, 2322.6,  0.5,         nan,        nan,  nan, 2443.0,    5.0,  259.9, 256.2,  42.7,  75203.8,    123,   28.0,   7.5,   281,     0, 1, 4
 668,   23220,  8:33:10,  94.356366,    5.842313,  78.934394, 2315.9,  0.5,         nan,        nan,  nan, 2435.5,    5.0,  261.5, 255.8,  42.7,  75275.0,     52,   21.0,   7.6,   281,     0, 1, 4
 669,   23230,  8:33:20,  94.356481,    5.840109,  78.934332, 2305.6,  0.6,         nan,        nan,  nan, 2428.8,    4.8,  261.7, 255.9,  43.1,  75337.7,     35,   15.0,   7.6,   281,     0, 1, 4
 670,   23240,  8:33:30,  94.356597,    5.837875,  78.934293, 2299.8,  0.5,         nan,        nan,  nan, 2420.6,    4.8,  264.8, 255.4,  43.1,  75415.7,      6,   16.0,   7.5,   281,     0, 1, 4
 671,   23250,  8:33:40,  94.356713,    5.835640,  78.934265, 2294.1,  0.5,         nan,        nan,  nan, 2412.9,    4.8,  266.2, 255.8,  43.1,  75488.6,    -48,   19.0,   7.5,   281,     0, 1, 4
 672,   23260,  8:33:50,  94.356829,    5.833448,  78.934239, 2287.6,  0.5,         nan,        nan,  nan, 2405.2,    4.7,  266.6, 256.7,  43.1,  75561.5,    -52,   22.0,   7.6,   281,     0, 1, 4
 673,   23270,  8:34:00,  94.356944,    5.831302,  78.934223, 2278.5,  0.5,    5.803580,  78.947620,  3.0, 2395.7,    4.6,  267.8, 255.9,  43.1,  75651.4,   -107,   22.0,   7.6,   281,     0, 1, 4
 674,   23280,  8:34:10,  94.357060,    5.829229,  78.934210, 2269.3,  0.5,         nan,        nan,  nan, 2386.4,    4.4,  268.0, 255.7,  43.1,  75739.6,   -115,   19.0,   7.5,   281,     0, 1, 4
 675,   23290,  8:34:20,  94.357176,    5.826943,  78.934194, 2260.9,  0.5,         nan,        nan,  nan, 2377.5,    4.9,  268.0, 255.8,  43.1,  75824.3,   -143,   14.0,   7.5,   281,     0, 1, 4
 676,   23300,  8:34:30,  94.357292,    5.825087,  78.934175, 2253.5,  0.6,         nan,        nan,  nan, 2367.3,    4.0,  266.9, 256.6,  43.5,  75921.0,   -140,   21.0,   7.6,   281,     0, 1, 4
 677,   23310,  8:34:40,  94.357407,    5.823067,  78.934146, 2243.2,  0.5,         nan,        nan,  nan, 2356.3,    4.3,  265.8, 255.7,  43.5,  76026.1,   -146,   20.0,   7.5,   281,     0, 1, 4
 678,   23320,  8:34:50,  94.357523,    5.821074,  78.934111, 2231.3,  0.6,         nan,        nan,  nan, 2344.5,    4.3,  264.7, 256.1,  43.5,  76138.0,   -167,   17.0,   7.5,   281,     0, 1, 4
 679,   23330,  8:35:00,  94.357639,    5.819048,  78.934071, 2220.9,  0.5,         nan,        nan,  nan, 2333.1,    4.4,  264.2, 255.9,  43.5,  76246.5,   -165,   12.0,   7.5,   281,     0, 1, 4
 680,   23340,  8:35:10,  94.357755,    5.817054,  78.934031, 2210.0,  0.5,         nan,        nan,  nan, 2321.6,    4.3,  264.1, 256.1,  43.5,  76356.7,   -145,   13.0,   7.5,   281,     0, 1, 4
 681,   23350,  8:35:20,  94.357870,    5.815102,  78.933994, 2199.3,  0.5,         nan,        nan,  nan, 2309.2,    4.2,  264.4, 256.7,  43.9,  76475.4,   -149,   23.0,   7.5,   281,     0, 1, 4
 682,   23360,  8:35:30,  94.357986,    5.813179,  78.933958, 2188.2,  0.5,         nan,        nan,  nan, 2295.7,    4.1,  264.4, 256.1,  43.9,  76604.2,   -183,   23.0,   7.6,   281,     0, 1, 4
 683,   23370,  8:35:40,  94.358102,    5.811270,  78.933927, 2176.0,  0.6,         nan,        nan,  nan, 2284.7,    4.1,  265.1, 256.4,  43.9,  76709.4,   -154,   19.0,   7.5,   281,     0, 1, 4
 684,   23380,  8:35:50,  94.358218,    5.809353,  78.933904, 2164.5,  0.5,         nan,        nan,  nan, 2273.1,    4.1,  266.4, 256.1,  43.9,  76821.3,   -156,   16.0,   7.5,   281,     0, 1, 4
 685,   23390,  8:36:00,  94.358333,    5.807441,  78.933879, 2153.9,  0.6,         nan,        nan,188.0, 2260.4,    4.1,  266.2, 257.3,  43.9,  76943.3,   -156,   26.0,   7.6,   281,     0, 1, 4
 686,   23400,  8:36:10,  94.358449,    5.805520,  78.933851, 2142.7,  0.5,         nan,        nan,  nan, 2247.8,    4.1,  265.6, 256.4,  43.9,  77063.7,   -150,   19.0,   7.5,   281,     0, 1, 4
 687,   23410,  8:36:20,  94.358565,    5.803610,  78.933808, 2129.2,  0.5,         nan,        nan,  nan, 2235.5,    4.1,  263.4, 256.5,  44.3,  77182.4,   -166,   17.0,   7.5,   281,     0, 1, 4
 688,   23420,  8:36:30,  94.358681,    5.801620,  78.933758, 2117.7,  0.5,         nan,        nan,  nan, 2222.1,    4.3,  262.5, 256.3,  44.3,  77311.3,   -169,   11.0,   7.5,   281,     0, 1, 4
 689,   23430,  8:36:40,  94.358796,    5.799606,  78.933711, 2107.0,  0.5,         nan,        nan,  nan, 2211.6,    4.3,  262.9, 257.2,  44.3,  77413.0,   -175,   21.0,   7.5,   281,     0, 1, 4
 690,   23440,  8:36:50,  94.358912,    5.797577,  78.933657, 2095.8,  0.5,         nan,        nan,  nan, 2199.5,    4.4,  262.1, 256.8,  44.3,  77530.0,   -170,   19.0,   7.5,   281,     0, 1, 4
 691,   23450,  8:37:00,  94.359028,    5.795552,  78.933597, 2083.6,  0.5,         nan,        nan,  nan, 2188.5,    4.4,  261.3, 256.8,  44.3,  77636.8,   -162,   19.0,   7.5,   281,     0, 1, 4
 692,   23460,  8:37:10,  94.359144,    5.793457,  78.933528, 2073.3,  0.5,         nan,        nan,  nan, 2178.1,    4.5,  260.3, 256.6,  44.3,  77736.8,   -144,   15.0,   7.5,   281,     0, 1, 4
 693,   23470,  8:37:20,  94.359259,    5.791336,  78.933460, 2063.3,  0.5,         nan,        nan,  nan, 2166.4,    4.6,  260.5, 257.8,  44.3,  77850.4,   -155,   26.0,   7.5,   281,     0, 1, 4
 694,   23480,  8:37:30,  94.359375,    5.789197,  78.933390, 2053.1,  0.5,         nan,        nan,  nan, 2156.3,    4.6,  260.2, 257.2,  44.3,  77948.7,   -146,   22.0,   7.5,   281,     0, 1, 4
 695,   23490,  8:37:40,  94.359491,    5.787019,  78.933318, 2042.9,  0.6,         nan,        nan,  nan, 2146.2,    4.7,  260.3, 257.0,  44.7,  78047.1,   -168,   17.0,   7.5,   281,     0, 1, 4
 696,   23500,  8:37:50,  94.359606,    5.784787,  78.933246, 2034.1,  0.5,         nan,        nan,  nan, 2136.9,    4.8,  260.5, 257.0,  44.7,  78136.9,   -136,   16.0,   7.5,   281,     0, 1, 4
 697,   23510,  8:38:00,  94.359722,    5.782523,  78.933173, 2024.7,  0.6,    5.617580,  78.951120,  5.0, 2127.2,    4.9,  260.4, 257.8,  44.3,  78231.9,   -166,   23.0,   7.5,   281,     0, 1, 4
 698,   23520,  8:38:10,  94.359838,    5.780286,  78.933108, 2016.2,  0.5,         nan,        nan,  nan, 2118.8,    4.8,  261.3, 257.3,  44.3,  78313.3,   -141,   14.0,   7.5,   281,     0, 1, 4
 699,   23530,  8:38:20,  94.359954,    5.778121,  78.933052, 2007.3,  0.6,         nan,        nan,  nan, 2110.1,    4.7,  262.4, 257.2,  44.3,  78398.0,   -165,   20.0,   7.5,   281,     0, 1, 4
 700,   23540,  8:38:30,  94.360069,    5.775959,  78.933007, 2001.9,  0.6,         nan,        nan,  nan, 2103.0,    4.6,  263.7, 257.3,  44.3,  78467.5,   -165,   15.0,   7.5,   281,     0, 1, 4
 701,   23550,  8:38:40,  94.360185,    5.773848,  78.932958, 1995.2,  0.5,         nan,        nan,  nan, 2095.9,    4.5,  263.2, 257.6,  44.3,  78537.1,   -147,   20.0,   7.5,   281,     0, 1, 4
 702,   23560,  8:38:50,  94.360301,    5.771817,  78.932893, 1985.4,  0.5,         nan,        nan,  nan, 2089.5,    4.4,  260.4, 257.6,  44.3,  78599.8,   -157,   18.0,   7.5,   281,     0, 1, 4
 703,   23570,  8:39:00,  94.360417,    5.769839,  78.932833, 1979.6,  0.5,         nan,        nan,  nan, 2081.5,    4.3,  261.1, 257.3,  44.3,  78677.8,   -158,   12.0,   7.5,   281,     0, 1, 4
 704,   23580,  8:39:10,  94.360532,    5.767907,  78.932774, 1975.0,  0.5,         nan,        nan,  nan, 2074.2,    4.2,  260.9, 258.0,  44.3,  78749.0,   -142,   17.0,   7.6,   281,     0, 1, 4
 705,   23590,  8:39:20,  94.360648,    5.766046,  78.932714, 1969.6,  0.5,         nan,        nan,  nan, 2068.4,    4.0,  260.6, 257.6,  44.3,  78806.6,   -131,   19.0,   7.5,   281,     0, 1, 4
 706,   23600,  8:39:30,  94.360764,    5.764280,  78.932656, 1961.2,  0.5,         nan,        nan,  nan, 2060.9,    3.8,  260.3, 257.6,  43.9,  78879.5,   -162,   18.0,   7.5,   281,     0, 1, 4
 707,   23610,  8:39:40,  94.360880,    5.762568,  78.932606, 1955.5,  0.5,         nan,        nan,  nan, 2052.8,    3.7,  261.3, 257.5,  43.9,  78959.2,   -157,   16.0,   7.5,   281,     0, 1, 4
 708,   23620,  8:39:50,  94.360995,    5.760897,  78.932556, 1948.4,  0.5,         nan,        nan,  nan, 2045.4,    3.6,  261.1, 258.4,  43.9,  79032.1,   -150,   25.0,   7.5,   281,     0, 1, 4
 709,   23630,  8:40:00,  94.361111,    5.759221,  78.932510, 1941.6,  0.5,    5.617580,  78.951120,  3.0, 2038.5,    3.6,  261.9, 257.7,  43.5,  79100.0,   -138,   19.0,   7.5,   281,     0, 1, 4
 710,   23640,  8:40:10,  94.361227,    5.757590,  78.932473, 1934.4,  0.5,         nan,        nan,  nan, 2030.2,    3.5,  263.2, 257.5,  43.5,  79181.3,   -162,   15.0,   7.5,   281,     0, 1, 4
 711,   23650,  8:40:20,  94.361343,    5.755951,  78.932443, 1926.0,  0.5,         nan,        nan,  nan, 2021.1,    3.5,  264.5, 258.2,  43.5,  79271.2,   -172,   22.0,   7.5,   281,     0, 1, 4
 712,   23660,  8:40:30,  94.361458,    5.754344,  78.932413, 1918.2,  0.5,         nan,        nan,  nan, 2013.5,    3.4,  264.6, 258.0,  43.1,  79345.8,   -151,   22.0,   7.5,   281,     0, 1, 4
 713,   23670,  8:40:40,  94.361574,    5.752806,  78.932372, 1906.9,  0.5,         nan,        nan,  nan, 2004.2,    3.3,  262.1, 258.0,  43.1,  79437.3,   -147,   19.0,   7.5,   281,     0, 1, 4
 714,   23680,  8:40:50,  94.361690,    5.751271,  78.932329, 1900.3,  0.5,         nan,        nan,  nan, 1994.9,    3.3,  261.6, 257.7,  42.7,  79528.9,   -151,   13.0,   7.5,   281,     0, 1, 4
 715,   23690,  8:41:00,  94.361806,    5.749750,  78.932270, 1892.1,  0.5,         nan,        nan,  nan, 1983.8,    3.3,  258.7, 258.1,  42.7,  79639.1,   -154,   20.0,   7.5,   281,     0, 1, 4
 716,   23700,  8:41:10,  94.361921,    5.748207,  78.932192, 1883.0,  0.5,         nan,        nan,  nan, 1974.8,    3.4,  255.3, 257.7,  42.7,  79727.3,   -147,   21.0,   7.5,   281,     0, 1, 4
 717,   23710,  8:41:20,  94.362037,    5.746508,  78.932091, 1872.3,  0.6,         nan,        nan,  nan, 1964.9,    3.8,  252.7, 257.9,  42.7,  79825.6,   -162,   16.0,   7.5,   281,     0, 1, 4
 718,   23720,  8:41:30,  94.362153,    5.744672,  78.931969, 1864.4,  0.5,         nan,        nan,  nan, 1955.7,    4.2,  250.9, 257.8,  42.7,  79917.2,   -135,   14.0,   7.5,   281,     0, 1, 4
 719,   23730,  8:41:40,  94.362269,    5.742549,  78.931815, 1853.8,  0.6,         nan,        nan,  nan, 1946.1,    4.8,  249.3, 258.6,  42.7,  80012.1,   -127,   22.0,   7.5,   281,     0, 1, 4
 720,   23740,  8:41:50,  94.362384,    5.740723,  78.931693, 1846.3,  0.6,         nan,        nan,  nan, 1936.2,    4.1,  250.7, 257.7,  42.7,  80110.4,   -137,   16.0,   7.5,   281,     0, 1, 4
 721,   23750,  8:42:00,  94.362500,    5.738558,  78.931559, 1838.7,  0.5,    5.803580,  78.947620,  2.0, 1926.8,    4.9,  252.2, 257.7,  43.1,  80203.7,   -147,   12.0,   7.5,   281,     0, 1, 4
 722,   23760,  8:42:10,  94.362616,    5.736339,  78.931423, 1830.7,  0.6,         nan,        nan,  nan, 1917.8,    5.0,  252.2, 258.4,  43.1,  80293.6,   -137,   16.0,   7.5,   281,     0, 1, 4
 723,   23770,  8:42:20,  94.362731,    5.733920,  78.931268, 1820.7,  0.5,         nan,        nan,  nan, 1907.7,    5.4,  251.6, 257.8,  43.1,  80393.6,   -161,   16.0,   7.5,   281,     0, 1, 4
 724,   23780,  8:42:30,  94.362847,    5.731865,  78.931144, 1811.7,  0.6,         nan,        nan,  nan, 1898.0,    4.6,  252.5, 258.0,  43.1,  80490.2,   -151,   13.0,   7.5,   281,     0, 1, 4
 725,   23790,  8:42:40,  94.362963,    5.729481,  78.931003, 1803.5,  0.6,         nan,        nan,  nan, 1888.3,    5.3,  253.0, 257.6,  43.1,  80586.9,   -118,   12.0,   7.5,   281,     0, 1, 4
 726,   23800,  8:42:50,  94.363079,    5.727165,  78.930858, 1793.6,  0.5,         nan,        nan,  nan, 1878.1,    5.2,  252.0, 258.6,  43.5,  80688.6,   -128,   23.0,   7.5,   281,     0, 1, 4
 727,   23810,  8:43:00,  94.363194,    5.724849,  78.930704, 1783.0,  0.5,         nan,        nan,  nan, 1866.9,    5.2,  250.8, 257.9,  43.5,  80800.5,   -118,   22.0,   7.5,   281,     0, 1, 4
 728,   23820,  8:43:10,  94.363310,    5.722532,  78.930535, 1770.3,  0.6,         nan,        nan,  nan, 1854.4,    5.3,  249.2, 258.3,  43.5,  80926.0,   -156,   24.0,   7.5,   281,     0, 1, 4
 729,   23830,  8:43:20,  94.363426,    5.720212,  78.930350, 1760.0,  0.5,         nan,        nan,  nan, 1842.0,    5.4,  247.5, 258.0,  43.5,  81049.7,   -138,   14.0,   7.5,   281,     0, 1, 4
 730,   23840,  8:43:30,  94.363542,    5.717978,  78.930138, 1747.7,  0.6,         nan,        nan,  nan, 1829.7,    5.3,  243.7, 258.7,  43.5,  81173.5,   -125,   23.0,   7.5,   281,     0, 1, 4
 731,   23850,  8:43:40,  94.363657,    5.715914,  78.929912, 1733.8,  0.5,         nan,        nan,  nan, 1815.2,    5.1,  240.2, 258.0,  43.5,  81319.3,   -137,   21.0,   7.5,   281,     0, 1, 4
 732,   23860,  8:43:50,  94.363773,    5.713923,  78.929664, 1721.6,  0.6,         nan,        nan,  nan, 1803.0,    5.1,  237.0, 258.2,  43.5,  81441.4,   -141,   20.0,   7.5,   281,     0, 1, 4
 733,   23870,  8:44:00,  94.363889,    5.712014,  78.929416, 1710.1,  0.5,    5.784740,  78.912630,  4.0, 1789.2,    4.9,  236.0, 257.9,  43.1,  81580.4,   -131,   14.0,   7.5,   281,     0, 1, 4
 734,   23880,  8:44:10,  94.364005,    5.710265,  78.929169, 1696.3,  0.6,         nan,        nan,  nan, 1774.6,    4.6,  233.7, 258.8,  43.1,  81727.9,   -130,   21.0,   7.5,   281,     0, 1, 4
 735,   23890,  8:44:20,  94.364120,    5.708538,  78.928923, 1681.4,  0.6,         nan,        nan,  nan, 1761.2,    4.6,  233.5, 258.1,  42.7,  81863.5,   -113,   10.0,   7.5,   281,     0, 1, 4
 736,   23900,  8:44:30,  94.364236,    5.706839,  78.928675, 1665.8,  0.6,         nan,        nan,  nan, 1745.3,    4.6,  232.7, 258.4,  42.7,  82024.6,   -125,   21.0,   7.5,   281,     0, 1, 4
 737,   23910,  8:44:40,  94.364352,    5.705112,  78.928425, 1654.3,  0.6,         nan,        nan,  nan, 1730.5,    4.6,  232.9, 258.1,  42.4,  82173.8,   -126,   18.0,   7.5,   281,     0, 1, 4
 738,   23920,  8:44:50,  94.364468,    5.703176,  78.928134, 1639.1,  0.6,         nan,        nan,  nan, 1715.2,    5.3,  232.0, 259.1,  42.4,  82329.8,   -118,   16.0,   7.5,   281,     0, 1, 4
 739,   23930,  8:45:00,  94.364583,    5.701665,  78.927867, 1624.3,  0.6,         nan,        nan,  nan, 1701.1,    4.4,  227.3, 258.3,  42.0,  82472.2,   -111,   18.0,   7.5,   281,     0, 1, 4
 740,   23940,  8:45:10,  94.364699,    5.699887,  78.927551, 1612.8,  0.6,         nan,        nan,  nan, 1687.6,    5.2,  227.2, 258.5,  42.0,  82609.5,   -134,   16.0,   7.5,   281,     0, 1, 4
