, Msg, Time[s], UTC[hms], Julian Day,      Lon[d],     Lat[d], Alt[m], HDoP,   LonMsg[d],  LatMsg[d],  Zp[m], S[m/s], D[deg],  T[K], RH[%],    P[Pa], DP[Pa], Pv[mA], Vb[V], Tb[K], PP[%], M, C,potential_temperature,specific_humidity,temperature,altitude
0,4,0,  2:14:20,76.093287,         nan,        nan,    nan, 23.2,         nan,        nan,-113.8,    nan,    nan,266.9,33.7,102673.5,26804,1.0,8.3,267,0,1,0,264.8946117272923,0.0007834035415520262,266.9,17.4
1,5,10,  2:14:30,76.093403,         nan,        nan,    nan, 23.2,   11.859780,  78.948590,-113.9,    nan,    nan,267.0,33.3,102675.2,26673,0.0,8.3,267,0,1,0,264.9926061550912,0.0007800295206539649,267.0,17.27218673649969
2,6,20,  2:14:40,76.093519,         nan,        nan,    nan, 23.2,         nan,        nan,-112.2,    nan,    nan,267.1,32.9,102654.9,26472,1.0,8.3,267,0,1,0,265.1068384081937,0.0007767193925320898,267.1,18.798565731973
3,7,30,  2:14:50,76.093634,         nan,        nan,    nan, 23.2,         nan,        nan,-112.9,    nan,    nan,267.1,32.9,102663.3,26280,0.0,8.2,267,0,1,0,265.1006376346759,0.0007766558406796044,267.1,18.16692402501827
4,8,40,  2:15:00,76.09375,         nan,        nan,    nan, 23.2,         nan,        nan,-112.6,    nan,    nan,267.1,32.9,102660.0,26135,0.0,8.3,267,0,1,0,265.1030735750377,0.0007766808062384808,267.1,18.41506281756442
5,9,50,  2:15:10,76.093866,         nan,        nan,    nan, 23.2,         nan,        nan,-111.5,    nan,    nan,267.1,32.9,102646.4,26053,0.0,8.3,267,0,1,0,265.1131136646122,0.0007767837115421723,267.1,19.43777959756666
6,10,60,  2:15:20,76.093981,         nan,        nan,    nan, 23.2,         nan,        nan,-110.5,    nan,    nan,267.1,33.3,102634.5,25935,0.0,8.3,268,0,1,0,265.1219001462435,0.0007863190499272745,267.1,20.33276794143489
7,11,70,  2:15:30,76.094097,         nan,        nan,    nan, 23.2,   11.859780,  78.948590,-111.8,    nan,    nan,267.2,32.9,102649.8,25794,1.0,8.2,268,0,1,0,265.2098586684924,0.0007827057157992077,267.2,19.18208769967247
8,15,110,  2:16:10,76.09456,         nan,        nan,    nan, 23.2,         nan,        nan,-110.8,    nan,    nan,265.7,31.0,102637.9,24028,0.0,8.2,268,0,1,0,263.7297709242422,0.0006573977747575811,265.7,20.07704639772812
9,16,120,  2:16:20,76.094676,         nan,        nan,    nan, 23.2,         nan,        nan,-99.1,    nan,    nan,265.1,30.6,102495.5,23389,2.0,8.2,268,0,1,0,263.2386717344386,0.0006203231938247701,265.1,30.79452539550449
10,17,130,  2:16:30,76.094792,         nan,        nan,    nan, 23.2,         nan,        nan,-81.9,    nan,    nan,265.2,29.8,102287.0,23826,1.0,8.2,268,100,1,0,263.4913011299428,0.0006100515031343329,265.2,46.51379378738358
11,18,140,  2:16:40,76.094907,         nan,        nan,    nan, 23.2,         nan,        nan,-67.4,    nan,    nan,265.2,30.2,102112.3,23882,3.0,8.2,268,100,1,0,263.6200858030791,0.0006192978371066832,265.2,59.70949784511632
12,19,150,  2:16:50,76.095023,         nan,        nan,    nan, 23.2,         nan,        nan,-55.9,    nan,    nan,265.1,30.2,101973.3,23957,0.0,8.2,268,100,1,0,263.6233128749955,0.0006153495121815252,265.1,70.22479294640506
13,20,160,  2:17:00,76.095139,         nan,        nan,    nan, 13.0,         nan,        nan,-41.6,    nan,    nan,265.0,30.6,101800.4,24084,0.0,8.2,268,100,1,0,263.6517345411443,0.0006197280924404751,265.0,83.32463099942198
14,21,170,  2:17:10,76.095255,         nan,        nan,    nan, 12.9,         nan,        nan,-25.3,    nan,    nan,264.9,30.6,101603.7,24307,3.0,8.2,268,100,1,0,263.6979937184783,0.0006161211637105333,264.9,98.25476662866927
15,22,180,  2:17:20,76.09537,         nan,        nan,    nan, 12.8,         nan,        nan,-12.6,    nan,    nan,264.7,30.6,101451.1,24460,3.0,8.2,268,100,1,0,263.6121390933149,0.0006075195254793744,264.7,109.8575000860865
16,23,190,  2:17:30,76.095486,         nan,        nan,    nan, 15.5,         nan,        nan,0.8,    nan,    nan,264.7,30.6,101290.0,24655,0.0,8.2,269,100,1,0,263.7319223370038,0.0006084857748184477,264.7,122.1254725844956
17,24,200,  2:17:40,76.095602,         nan,        nan,    nan, 24.4,         nan,        nan,16.0,    nan,    nan,264.5,31.0,101108.6,24829,0.0,8.2,269,100,1,0,263.6677221975818,0.0006079936034305783,264.5,135.9626928827517
18,25,210,  2:17:50,76.095718,   11.915330,  78.923092,   48.6,  1.0,         nan,        nan,31.5,    nan,    nan,264.4,31.0,100922.1,25050,0.0,8.2,269,100,1,0,263.7071752951918,0.0006043818613151159,264.4,150.2148483560442
19,26,220,  2:18:00,76.095833,         nan,        nan,    nan, 23.2,   11.859780,  78.948590,44.7,    nan,    nan,264.4,31.0,100764.4,25242,0.0,8.2,269,100,1,0,263.825085706129,0.0006053277412045352,264.4,162.2867006455761
20,12,80,  2:15:40,76.094213,         nan,        nan,    nan, 23.2,         nan,        nan,-110.5,    nan,    nan,267.1,32.9,102634.5,25653,2.0,8.3,268,0,1,0,265.1219001462435,0.0007768737760542744,267.1,20.33276794143691
21,13,90,  2:15:50,76.094329,         nan,        nan,    nan, 23.2,         nan,        nan,-111.1,    nan,    nan,267.0,32.9,102641.3,25471,0.0,8.3,268,0,1,0,265.017621603022,0.0007709143274325114,267.0,19.82133332495553
22,14,100,  2:16:00,76.094444,         nan,        nan,    nan, 23.2,         nan,        nan,-110.4,    nan,    nan,265.9,32.5,102632.8,24937,0.0,8.2,268,0,1,0,263.9320368330261,0.0006999596537824407,265.9,20.46063189006523
23,27,230,  2:18:10,76.095949,         nan,        nan,    nan,  3.6,         nan,        nan,57.3,    nan,    nan,264.4,31.0,100613.5,25416,0.0,8.2,269,100,1,0,263.9381342080045,0.00060623561098491,264.4,173.8557180335848
