"File","Date","Hour"
"t2myr_kf_0_5km_mbr1_20161111T18Z.nc","20161111","18"
"t2myr_kf_0_5km_mbr1_20161111T12Z.nc","20161111","12"
"t2myr_kf_0_5km_mbr1_20161111T06Z.nc","20161111","06"
"t2myr_kf_0_5km_mbr1_20161111T00Z.nc","20161111","00"
"t2myr_kf_0_5km_mbr0_20161111T18Z.nc","20161111","18"
"t2myr_kf_0_5km_mbr0_20161111T12Z.nc","20161111","12"
"t2myr_kf_0_5km_mbr0_20161111T06Z.nc","20161111","06"
"t2myr_kf_0_5km_mbr0_20161111T00Z.nc","20161111","00"
"meps_subset_2_5km_20161111T18Z.nc","20161111","18"
"meps_subset_2_5km_20161111T12Z.nc","20161111","12"
"meps_subset_2_5km_20161111T06Z.nc","20161111","06"
"meps_subset_2_5km_20161111T00Z.nc","20161111","00"
"meps_mbr1_pp_2_5km_20161111T18Z.nc","20161111","18"
"meps_mbr1_pp_2_5km_20161111T12Z.nc","20161111","12"
"meps_mbr1_pp_2_5km_20161111T06Z.nc","20161111","06"
"meps_mbr1_pp_2_5km_20161111T00Z.nc","20161111","00"
"meps_mbr0_vc_2_5km_20161111T18Z.nc","20161111","18"
"meps_mbr0_vc_2_5km_20161111T12Z.nc","20161111","12"
"meps_mbr0_vc_2_5km_20161111T06Z.nc","20161111","06"
"meps_mbr0_vc_2_5km_20161111T00Z.nc","20161111","00"
"meps_mbr0_ppalgs_plevels_2_5km_20161111T18Z.nc","20161111","18"
"meps_mbr0_ppalgs_plevels_2_5km_20161111T12Z.nc","20161111","12"
"meps_mbr0_ppalgs_plevels_2_5km_20161111T06Z.nc","20161111","06"
"meps_mbr0_ppalgs_plevels_2_5km_20161111T00Z.nc","20161111","00"
"meps_mbr0_pp_2_5km_20161111T18Z.nc","20161111","18"
"meps_mbr0_pp_2_5km_20161111T12Z.nc","20161111","12"
"meps_mbr0_pp_2_5km_20161111T06Z.nc","20161111","06"
"meps_mbr0_pp_2_5km_20161111T00Z.nc","20161111","00"
